original_row_index,target_date,latitude,longitude,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR
4423,2019-11-10,55.511,22.439,6.52,7.54,5.65,96.52,0.46
4423,2019-12-08,55.123,24.029,2.63,4.49,0.09,96.55,2.75
4423,2019-11-30,55.91,22.557,-0.97,1.76,-2.13,91.59,0.1
4424,2019-10-28,56.098,21.907,,,,,
4424,2019-11-15,54.06,23.782,5.22,6.21,4.17,95.45,5.42
4424,2019-12-31,55.931,24.995,2.74,4.0,-1.58,96.77,2.11
4424,2019-11-22,54.492,24.957,-3.05,-0.87,-4.43,67.28,0.12
4424,2019-11-30,55.251,21.385,2.83,4.28,1.75,77.9,0.21
4425,2019-12-12,54.863,23.544,-1.42,1.06,-4.8,94.88,0.38
4425,2019-12-07,55.486,25.973,-0.15,1.0,-0.64,95.24,6.29
4425,2019-12-11,55.792,22.462,-2.94,-1.08,-4.01,95.33,0.03
4425,2019-12-04,54.773,22.951,1.51,3.61,-2.16,97.63,2.29
4425,2019-12-06,55.276,23.586,-1.19,0.29,-2.96,93.52,1.6
4426,2019-11-20,55.918,25.334,4.25,5.66,0.56,93.58,0.21
4426,2019-12-18,54.269,23.87,3.77,6.56,2.37,95.04,0.1
4426,2019-12-10,55.744,21.59,1.36,4.44,-3.53,95.95,1.71
4426,2019-11-22,54.987,24.263,-2.06,-0.14,-3.4,65.99,0.04
4426,2019-12-03,55.432,25.678,-3.28,-0.76,-4.65,97.62,0.2
4427,2019-11-23,54.878,25.506,-3.75,-2.16,-5.03,70.79,0.1
4427,2019-11-29,55.919,23.373,2.18,4.86,0.75,99.13,2.37
4427,2019-12-06,54.987,24.263,-1.02,0.9,-3.14,89.53,2.02
4427,2019-12-01,54.329,23.648,-1.56,0.78,-3.22,93.75,0.26
4427,2020-01-09,55.23,24.473,1.68,3.08,0.76,98.78,1.28
4428,2019-12-21,54.492,24.957,2.91,4.77,1.61,98.26,0.41
4428,2019-12-14,55.765,22.835,0.34,1.28,-0.27,94.6,2.13
4428,2019-11-19,54.492,24.957,4.94,7.32,2.46,96.12,0.56
4428,2019-12-12,54.987,24.263,-0.96,1.16,-4.34,94.06,0.52
4428,2019-12-29,55.34,21.48,0.89,2.4,-2.1,85.93,0.26
4429,2020-01-01,55.895,22.572,1.38,3.15,-1.69,93.88,0.2
4429,2019-12-26,55.423,25.791,0.55,1.57,-0.24,97.95,4.28
4429,2019-12-04,54.962,23.407,1.51,3.61,-2.16,97.63,2.29
4429,2019-12-12,55.001,25.469,-0.48,0.93,-2.27,94.05,0.79
4429,2019-11-30,56.298,22.949,-0.62,1.47,-2.27,88.88,0.26
4430,2019-12-13,54.577,23.433,0.24,1.39,-0.42,93.24,0.69
4430,2019-11-20,54.89,23.191,5.48,6.57,4.58,92.91,0.33
4430,2019-10-23,55.483,22.423,,,,,
4430,2019-11-25,55.462,25.79,-4.29,-1.96,-6.38,90.49,0.25
4430,2019-11-30,55.696,22.812,-0.47,2.25,-1.95,91.23,0.17
4431,2019-12-04,54.329,23.648,0.46,2.38,-2.82,97.04,1.98
4431,2019-11-21,55.424,22.147,3.42,5.16,1.19,84.22,0.16
4431,2019-11-21,55.448,25.946,0.12,3.03,-3.74,84.94,0.21
4431,2019-11-16,54.704,25.33,5.27,7.39,2.94,95.38,0.22
4431,2019-11-24,55.696,22.812,-2.16,-0.24,-3.18,88.1,0.15
4432,2019-11-13,54.741,24.742,9.1,12.16,5.91,89.64,4.04
4432,2019-11-14,54.649,25.718,8.43,10.17,7.27,95.76,11.27
4432,2019-12-12,54.606,23.544,-1.14,0.71,-4.51,94.17,0.55
4432,2019-11-27,55.123,24.029,0.28,1.12,-0.78,96.81,0.45
4432,2019-11-25,56.005,22.573,-2.07,-0.46,-3.5,91.14,0.25
4433,2019-12-15,55.895,22.572,0.94,2.71,-0.38,97.28,4.1
4433,2020-01-03,55.385,25.183,-0.62,1.09,-3.19,95.66,0.97
4433,2019-12-11,55.834,24.953,-3.82,-1.39,-4.75,94.79,0.07
4433,2019-12-17,54.758,24.984,1.4,2.74,0.62,98.7,2.25
4433,2019-12-26,55.962,22.286,0.42,1.77,-0.96,98.25,0.69
4434,2019-11-22,55.07,24.041,-1.5,0.35,-3.1,67.14,0.04
4434,2019-11-24,55.765,22.835,-2.33,-0.4,-3.42,86.6,0.09
4434,2019-12-11,55.123,24.029,-3.68,-0.45,-4.86,96.08,0.09
4434,2019-12-06,54.577,23.433,-1.0,0.98,-3.14,86.73,1.73
4434,2019-12-17,55.423,25.791,1.16,2.02,0.37,99.0,3.96
4435,2019-11-24,54.615,25.123,-3.08,-2.1,-4.19,76.3,0.45
4435,2019-12-27,54.901,23.415,-0.84,0.69,-2.02,96.3,0.2
4435,2019-12-29,55.32,21.653,-1.33,0.16,-4.26,92.97,0.24
4435,2019-12-30,54.797,23.525,0.83,2.25,-0.9,78.98,0.72
4435,2019-12-31,55.961,22.171,3.97,5.56,1.03,90.64,1.55
4436,2019-11-24,54.325,24.255,-2.36,-0.89,-3.09,76.41,0.32
4436,2019-12-15,55.956,24.745,0.3,1.03,-0.12,98.28,2.9
4436,2019-11-28,55.707,21.301,4.2,5.27,2.75,98.08,2.23
4436,2019-11-29,54.607,25.067,1.56,3.17,0.45,98.91,2.29
4436,2019-11-17,54.544,25.503,7.03,8.28,5.62,96.91,0.37
4437,2019-11-29,54.329,23.648,2.17,5.08,0.76,99.01,1.7
4437,2019-11-02,55.03,23.922,2.27,4.65,0.04,88.93,3.24
4437,2019-12-07,55.812,24.696,0.43,1.74,0.04,97.2,10.17
4437,2019-12-02,54.978,24.135,-0.77,0.34,-2.0,96.0,3.89
4437,2019-11-15,56.047,23.315,4.29,6.03,2.43,96.99,3.38
4438,2019-12-09,55.817,23.579,4.7,5.57,3.11,96.71,0.66
4438,2019-11-09,54.838,22.837,7.22,9.61,5.52,95.06,0.39
4438,2019-12-09,55.757,24.929,4.12,4.66,3.48,98.8,0.64
4438,2019-11-29,54.682,23.439,2.17,5.08,0.76,99.01,1.7
4438,2019-11-22,55.193,22.484,-0.55,1.21,-2.68,70.51,0.15
4439,2019-12-20,54.717,25.681,0.43,1.89,-1.43,97.46,0.48
4439,2019-12-14,55.14,23.578,0.46,1.53,-0.22,94.27,2.9
4439,2019-12-05,54.987,23.56,0.72,2.17,-2.32,96.22,0.27
4439,2019-12-19,55.081,23.792,2.92,4.0,-0.27,97.06,0.4
4439,2019-12-09,55.774,21.359,6.47,7.72,5.31,90.45,1.59
4440,2019-12-07,54.588,23.439,0.87,2.73,0.03,92.52,5.44
4440,2019-12-14,55.667,21.225,1.72,2.27,0.87,95.71,2.34
4440,2020-01-05,55.823,23.892,-1.67,0.85,-4.74,91.29,0.17
4440,2019-12-07,55.754,22.878,1.4,3.85,0.22,96.48,5.58
4440,2019-12-21,56.165,23.311,1.93,4.01,0.56,97.55,0.75
4441,2019-11-29,55.224,21.52,5.29,7.48,3.96,92.33,4.23
4441,2019-12-15,55.23,24.473,0.72,1.78,0.0,98.3,4.54
4441,2019-12-12,56.047,23.315,-2.14,0.32,-4.52,95.68,0.3
4441,2019-11-27,55.774,21.359,1.99,2.46,1.55,97.62,0.72
4441,2019-11-29,55.276,23.586,1.97,4.9,0.78,99.05,1.86
4442,2019-12-26,55.319,22.536,0.8,2.15,-0.31,98.42,0.58
4442,2019-11-28,55.379,22.602,1.83,2.69,0.74,98.67,1.94
4442,2019-11-27,56.257,22.293,0.0,0.76,-1.02,96.77,0.51
4442,2019-12-23,56.165,23.311,3.09,4.69,2.07,97.1,0.32
4442,2019-12-09,55.937,22.677,4.85,6.17,3.24,95.7,1.29
4443,2019-11-22,55.823,23.892,-1.86,-0.18,-3.1,70.64,0.03
4443,2019-12-19,55.929,22.441,2.92,4.46,-0.51,95.62,0.55
4443,2019-12-23,55.851,23.69,2.92,4.34,1.77,97.48,0.22
4443,2019-12-08,56.101,24.297,1.81,3.74,-0.08,97.86,5.05
4443,2019-12-06,56.245,22.078,2.82,4.45,1.06,94.35,3.13
4444,2019-12-18,55.119,22.444,4.17,6.8,2.91,95.24,0.14
4444,2019-12-17,56.279,23.225,1.46,2.27,0.83,98.54,1.13
4444,2019-11-28,55.193,22.484,2.51,3.57,1.21,98.01,1.64
4444,2019-12-06,54.901,23.415,-1.2,0.64,-3.28,91.78,3.09
4444,2019-12-17,55.462,25.79,1.16,2.02,0.37,99.0,3.96
4445,2019-12-17,55.972,22.118,2.44,2.95,1.79,98.55,1.64
4445,2019-12-05,54.987,23.56,0.72,2.17,-2.32,96.22,0.27
4445,2019-12-08,54.941,23.101,3.21,5.36,0.74,95.21,3.02
4445,2019-12-20,55.929,22.441,0.48,1.76,-1.42,96.83,0.16
4445,2019-12-01,55.225,24.455,-1.98,0.52,-3.57,93.77,0.25
4446,2019-11-20,55.276,23.586,4.5,5.6,3.07,94.76,0.31
4446,2019-12-14,55.812,24.696,0.12,0.7,-0.3,91.53,2.64
4446,2019-12-16,56.165,21.469,5.42,6.57,3.61,87.89,2.92
4446,2019-12-07,56.14,21.421,5.93,7.17,4.95,91.73,7.35
4446,2019-12-12,55.895,22.572,-2.17,0.06,-4.56,94.92,0.31
4447,2019-12-18,55.081,23.792,3.73,6.45,1.84,95.27,0.14
4447,2019-11-26,54.99,25.152,-2.3,-0.44,-3.9,93.35,0.3
4447,2019-12-03,55.081,23.792,-2.41,0.85,-4.51,96.77,0.07
4447,2019-12-11,55.338,22.093,-2.49,-0.68,-4.02,95.94,0.03
4447,2019-12-02,55.91,22.557,-0.93,0.65,-4.32,98.34,5.48
4448,2019-12-17,56.005,22.573,1.25,1.71,0.43,98.74,1.69
4448,2020-01-06,56.248,22.263,1.44,2.63,-0.71,98.3,3.33
4448,2019-12-22,54.492,24.957,3.69,4.87,1.6,98.14,8.65
4448,2019-11-28,56.14,21.421,3.91,5.17,2.09,97.74,2.14
4448,2019-12-15,55.781,24.77,0.3,1.03,-0.12,98.28,2.9
4449,2019-12-08,54.441,24.125,2.23,3.56,0.86,98.34,1.88
4449,2019-12-20,55.99,22.663,0.48,1.76,-1.42,96.83,0.16
4449,2019-12-19,55.401,25.712,2.63,3.79,-0.59,96.89,0.81
4449,2019-11-27,54.987,23.56,0.28,1.12,-0.78,96.81,0.45
4449,2020-01-01,54.643,25.08,-0.42,1.46,-3.2,95.52,0.24
4450,2019-12-25,55.27,24.106,2.94,3.64,2.27,98.3,1.25
4450,2019-12-11,55.812,24.696,-3.82,-1.39,-4.75,94.79,0.07
4450,2019-12-04,55.224,21.52,4.64,6.35,0.35,94.53,2.25
4450,2019-12-04,54.194,23.821,0.24,2.34,-3.14,96.48,1.56
4450,2019-12-11,55.219,21.272,-1.43,0.61,-2.93,93.73,0.0
4451,2019-11-20,54.083,23.786,5.85,7.26,4.2,93.01,0.46
4451,2019-11-24,55.448,25.946,-4.52,-3.13,-5.44,77.83,0.51
4451,2019-11-22,56.202,22.963,-1.71,-0.2,-2.64,72.32,0.04
4451,2019-11-19,54.996,25.347,3.97,5.67,2.34,96.97,0.6
4451,2019-11-12,55.27,24.106,4.0,5.99,2.0,93.01,0.18
